n,D,A_r,A_B,A_F,α,β,f_c,f_y
4,60,804.2477193,1200,47380.53289,1,0,74.9875,400
4,60,804.2477193,1200,47380.53289,1,0,74.9875,400
4,60,804.2477193,1200,47380.53289,1,0,74.9875,400
4,60,1256.637061,1200,47380.53289,1,0,74.9875,400
4,60,1256.637061,1200,47380.53289,1,0,74.9875,400
4,60,1256.637061,1200,47380.53289,1,0,74.9875,400
4,60,1963.495408,1200,47380.53289,1,0,74.9875,400
4,60,1963.495408,1200,47380.53289,1,0,74.9875,400
4,60,1963.495408,1200,47380.53289,1,0,74.9875,400
1,60,314.1592654,2600,103545.1332,0,1,44.477,486
1,60,314.1592654,2600,103545.1332,0,1,44.477,486
2,60,628.3185307,2600,97890.26645,0,1,44.477,486
2,60,628.3185307,2600,97890.26645,0,1,44.477,486
3,60,942.4777961,2600,92235.39967,0,1,44.477,486
3,60,942.4777961,2600,92235.39967,0,1,44.477,486
2,50,402.1238597,1920,76146.01837,0,1,39.342,492
2,40,402.1238597,1920,78973.45175,0,1,39.342,492
2,60,402.1238597,1920,72690.26645,0,1,39.342,492
2,50,402.1238597,600,76146.01837,0,1,39.342,492
2,50,402.1238597,1200,76146.01837,0,1,39.342,492
3,50,603.1857895,1920,72219.02755,0,1,39.342,492
0,0,0,1500,62000,1,1,26.1885,500
1,30,0,1500,60586.28331,1,1,26.1885,500
2,30,0,1500,59172.56661,1,1,26.1885,500
3,30,0,1500,57758.84992,1,1,26.1885,500
4,30,0,1500,56345.13322,1,1,26.1885,500
1,30,113.0973355,1500,60586.28331,1,1,26.1885,500
1,30,314.1592654,1500,60586.28331,1,1,26.1885,500
1,50,0,1200,56073.00918,1,1,39.026,357
1,50,153.93804,1200,56073.00918,0,1,39.026,357
1,50,153.93804,1200,56073.00918,1,1,39.026,357
2,50,307.8760801,1200,52146.01837,1,1,39.026,357
3,50,461.8141201,1200,48219.02755,1,1,39.026,357
3,50,461.8141201,1200,48219.02755,1,1,41.554,357
3,50,942.4777961,1200,48219.02755,1,1,39.026,417
2,55,402.1238597,1200,60496.68222,0,0,39.974,361.7
2,55,402.1238597,1200,60496.68222,0,0,33.101,361.7
2,55,402.1238597,1200,60496.68222,0,0,25.991,361.7
2,45,402.1238597,1200,63638.27488,0,0,42.739,361.7
2,35,402.1238597,1200,66151.549,0,0,42.107,361.7
4,55,804.2477193,774,109993.3644,1,0,21.646,352.3
